"Title","Epic","User Story","Priority","Story Points","Status","Sprint","Acceptance Criteria","Labels"
"US-001: Als Administrator möchte ich die Anwendung über eine dokumentierte Installation starten, damit sie auf einem Schulserver betrieben werden kann.","Epic 1: Grundsystem und Benutzerverwaltung","Als Administrator möchte ich die Anwendung über eine dokumentierte Installation starten, damit sie auf einem Schulserver betrieben werden kann.","Must","3","Done","Sprint 1","`npm start` startet die Anwendung; `/api/health` liefert `ok`; Docker Compose ist dokumentiert.","user-story;priority:must"
"US-002: Als Benutzer möchte ich mich sicher anmelden, damit ich nur auf berechtigte Funktionen zugreifen kann.","Epic 1: Grundsystem und Benutzerverwaltung","Als Benutzer möchte ich mich sicher anmelden, damit ich nur auf berechtigte Funktionen zugreifen kann.","Must","8","Done","Sprint 1","Login-Maske vorhanden; Passwörter werden nicht im Klartext gespeichert; Session läuft automatisch ab.","user-story;priority:must"
"US-003: Als Administrator möchte ich Benutzerrollen verwalten, damit Lehrkräfte, Sicherheitsbeauftragte und Schulleitung unterschiedliche Zugriffe erhalten.","Epic 1: Grundsystem und Benutzerverwaltung","Als Administrator möchte ich Benutzerrollen verwalten, damit Lehrkräfte, Sicherheitsbeauftragte und Schulleitung unterschiedliche Zugriffe erhalten.","Must","5","Done","Sprint 1","Rollen Administrator, Sicherheitsbeauftragter, Schulleitung, Lehrkraft, Sekretariat sind vorhanden; API erzwingt Rechte; Rollenänderung ist per geschütztem Endpunkt möglich.","user-story;priority:must"
"US-004: Als Administrator möchte ich die Stammdaten der Schule verwalten, damit sie automatisch in Protokollen und Ausdrucken erscheinen.","Epic 2: Schulverwaltung","Als Administrator möchte ich die Stammdaten der Schule verwalten, damit sie automatisch in Protokollen und Ausdrucken erscheinen.","Must","5","Done","Sprint 1","Name, Schuljahr, Gebäude und Sammelplätze sind editierbar; Ausdrucke zeigen Schuldaten; Schuldaten sind per geschütztem Endpunkt änderbar.","user-story;priority:must"
"US-005: Als Administrator möchte ich Lehrkräfte, Klassen sowie Schülerinnen und Schüler verwalten, damit Anwesenheitslisten erstellt werden können.","Epic 2: Schulverwaltung","Als Administrator möchte ich Lehrkräfte, Klassen sowie Schülerinnen und Schüler verwalten, damit Anwesenheitslisten erstellt werden können.","Must","8","Done","Sprint 2","Personen und Klassen können angelegt und geändert werden; Unterstützungsbedarf bleibt geschützt.","user-story;priority:must"
"US-006: Als Sekretariat möchte ich Klassen- und Personendaten aus CSV- oder Excel-Dateien importieren, damit sie nicht manuell eingegeben werden müssen.","Epic 2: Schulverwaltung","Als Sekretariat möchte ich Klassen- und Personendaten aus CSV- oder Excel-Dateien importieren, damit sie nicht manuell eingegeben werden müssen.","Must","8","Done","Sprint 2","CSV-Import validiert Pflichtspalten; Fehlerbericht wird angezeigt; Demodaten bleiben fiktiv.","user-story;priority:must"
"US-007: Als Sicherheitsbeauftragter möchte ich eine Alarm- oder Räumungsübung planen, damit Termin, Gebäude, Sammelplätze und Verantwortliche festgelegt sind.","Epic 3: Übungen","Als Sicherheitsbeauftragter möchte ich eine Alarm- oder Räumungsübung planen, damit Termin, Gebäude, Sammelplätze und Verantwortliche festgelegt sind.","Must","8","Done","Sprint 2","Assistent speichert Termin, Gebäude, Sammelplätze, Ziel und Szenario.","user-story;priority:must"
"US-008: Als Sicherheitsbeauftragter möchte ich aus einer Übung automatisch eine Checkliste erhalten, damit keine wichtigen Vorbereitungsschritte vergessen werden.","Epic 3: Übungen","Als Sicherheitsbeauftragter möchte ich aus einer Übung automatisch eine Checkliste erhalten, damit keine wichtigen Vorbereitungsschritte vergessen werden.","Must","5","Done","Sprint 2","Nach dem Speichern entstehen Aufgaben mit Verantwortlichkeit und Frist.","user-story;priority:must"
"US-009: Als Sicherheitsbeauftragter möchte ich eine vorbereitete Übung starten, damit die mobile Anwesenheitserfassung freigeschaltet wird.","Epic 3: Übungen","Als Sicherheitsbeauftragter möchte ich eine vorbereitete Übung starten, damit die mobile Anwesenheitserfassung freigeschaltet wird.","Must","5","Done","Sprint 2","Status wechselt auf laufend; Snapshot wird erzeugt; mobile Route zeigt aktive Übung.","user-story;priority:must"
"US-010: Als Sicherheitsbeauftragter möchte ich eine Übung kontrolliert abschließen, damit Protokolle und Auswertungen erstellt werden können.","Epic 3: Übungen","Als Sicherheitsbeauftragter möchte ich eine Übung kontrolliert abschließen, damit Protokolle und Auswertungen erstellt werden können.","Must","5","Done","Sprint 2","Abschluss fixiert Berichtsdaten und Abschlusszusammenfassung; offene Maßnahmen bleiben sichtbar.","user-story;priority:must"
"US-011: Als Lehrkraft möchte ich auf dem Smartphone meine aktuelle Klasse oder meinen Kurs öffnen, damit ich am Sammelplatz schnell Rückmeldung geben kann.","Epic 4: Mobile Anwesenheitserfassung","Als Lehrkraft möchte ich auf dem Smartphone meine aktuelle Klasse oder meinen Kurs öffnen, damit ich am Sammelplatz schnell Rückmeldung geben kann.","Must","5","Ready","Sprint 3","Mobile Ansicht zeigt nur zugeordnete Gruppen und erwartete Personen.","user-story;priority:must;mobile"
"US-012: Als Lehrkraft möchte ich eine Klasse mit einem Klick als vollständig melden, damit die Rückmeldung schnell erfolgt.","Epic 4: Mobile Anwesenheitserfassung","Als Lehrkraft möchte ich eine Klasse mit einem Klick als vollständig melden, damit die Rückmeldung schnell erfolgt.","Must","3","Done","Sprint 3","Ein Klick erzeugt eine verbindliche Meldung mit Zeitstempel und Sammelplatz.","user-story;priority:must;mobile"
"US-013: Als Lehrkraft möchte ich fehlende Schülerinnen und Schüler markieren, damit die Einsatzleitung sofort erkennt, wer vermisst wird.","Epic 4: Mobile Anwesenheitserfassung","Als Lehrkraft möchte ich fehlende Schülerinnen und Schüler markieren, damit die Einsatzleitung sofort erkennt, wer vermisst wird.","Must","5","Done","Sprint 3","Fehlende Personen erscheinen im Dashboard und in Exporten.","user-story;priority:must;mobile"
"US-014: Als Lehrkraft möchte ich zusätzliche oder falsch zugeordnete Personen melden, damit die Gesamtanwesenheit korrekt erfasst wird.","Epic 4: Mobile Anwesenheitserfassung","Als Lehrkraft möchte ich zusätzliche oder falsch zugeordnete Personen melden, damit die Gesamtanwesenheit korrekt erfasst wird.","Must","5","Ready","Sprint 3","Zusätzliche Personen werden mit Bemerkung erfasst und im Dashboard getrennt angezeigt.","user-story;priority:must;mobile"
"US-015: Als Sicherheitsbeauftragter möchte ich den Status aller Klassen live sehen, damit nicht gemeldete oder unvollständige Gruppen sofort auffallen.","Epic 4: Mobile Anwesenheitserfassung","Als Sicherheitsbeauftragter möchte ich den Status aller Klassen live sehen, damit nicht gemeldete oder unvollständige Gruppen sofort auffallen.","Must","8","Done","Sprint 3","Dashboard zeigt Soll, Ist, Absenzen, fehlende, zusätzliche und vollständige Gruppen.","user-story;priority:must;mobile"
"US-016: Als Sicherheitsbeauftragter möchte ich Anwesenheitslisten nach Klassen und Sammelplätzen ausdrucken, damit bei einem technischen Ausfall Papierlisten verfügbar sind.","Epic 5: Listen und Ausdrucke","Als Sicherheitsbeauftragter möchte ich Anwesenheitslisten nach Klassen und Sammelplätzen ausdrucken, damit bei einem technischen Ausfall Papierlisten verfügbar sind.","Must","5","Done","Sprint 4","CSV und druckoptimierte HTML-Liste sind abrufbar; vertrauliche Kennzeichnung ist enthalten.","user-story;priority:must"
"US-017: Als Sicherheitsbeauftragter möchte ich alle benötigten Unterlagen als gemeinsame PDF erzeugen, damit ich eine vollständige Übungsmappe ausdrucken kann.","Epic 5: Listen und Ausdrucke","Als Sicherheitsbeauftragter möchte ich alle benötigten Unterlagen als gemeinsame PDF erzeugen, damit ich eine vollständige Übungsmappe ausdrucken kann.","Should","8","Backlog","Sprint 4","Übungsmappe enthält Deckblatt, Checkliste, Listen und relevante Dokumente.","user-story;priority:should"
"US-018: Als Sicherheitsbeauftragter möchte ich vorgefertigte Protokollvorlagen verwenden, damit Übungen schnell dokumentiert werden können.","Epic 6: Protokolle","Als Sicherheitsbeauftragter möchte ich vorgefertigte Protokollvorlagen verwenden, damit Übungen schnell dokumentiert werden können.","Must","5","Done","Sprint 4","Mindestens 32 Standardvorlagen sind verfügbar.","user-story;priority:must"
"US-019: Als Sicherheitsbeauftragter möchte ich Felder einer Vorlage anpassen, damit sie zur eigenen Schule passen.","Epic 6: Protokolle","Als Sicherheitsbeauftragter möchte ich Felder einer Vorlage anpassen, damit sie zur eigenen Schule passen.","Must","8","Done","Sprint 4","Unterstützte Feldtypen werden validiert; Vorlage kann dupliziert werden.","user-story;priority:must"
"US-020: Als Sicherheitsbeauftragter möchte ich vorhandene Schuldaten automatisch übernehmen, damit Protokolle möglichst wenig manuelle Eingaben benötigen.","Epic 6: Protokolle","Als Sicherheitsbeauftragter möchte ich vorhandene Schuldaten automatisch übernehmen, damit Protokolle möglichst wenig manuelle Eingaben benötigen.","Should","5","Backlog","Sprint 4","Formulare können Schule, Übung, Datum und Sammelplätze automatisch einfügen.","user-story;priority:should"
"US-021: Als Sicherheitsbeauftragter möchte ich ausgefüllte Protokolle als PDF speichern, damit sie archiviert und ausgedruckt werden können.","Epic 6: Protokolle","Als Sicherheitsbeauftragter möchte ich ausgefüllte Protokolle als PDF speichern, damit sie archiviert und ausgedruckt werden können.","Should","8","Backlog","Sprint 4","Einreichung ist druckbar und enthält Versionsnummer, Zeitstempel und Ersteller.","user-story;priority:should"
"US-022: Als Sicherheitsbeauftragter möchte ich Alarmordnungen, Checklisten und Handlungsanweisungen hinterlegen, damit alle aktuellen Informationen zentral verfügbar sind.","Epic 7: Informationen und Dokumente","Als Sicherheitsbeauftragter möchte ich Alarmordnungen, Checklisten und Handlungsanweisungen hinterlegen, damit alle aktuellen Informationen zentral verfügbar sind.","Should","8","Backlog","Sprint 5","Dokumente haben Kategorie, Version, Gültigkeit und Zielgruppe.","user-story;priority:should"
"US-023: Als Lehrkraft möchte ich wichtige Handlungsanweisungen mobil öffnen, damit ich sie im Bedarfsfall schnell finde.","Epic 7: Informationen und Dokumente","Als Lehrkraft möchte ich wichtige Handlungsanweisungen mobil öffnen, damit ich sie im Bedarfsfall schnell finde.","Should","5","Backlog","Sprint 5","Mobile Ansicht filtert freigegebene Dokumente und funktioniert offline für ausgewählte Inhalte.","user-story;priority:should"
"US-024: Als Benutzer möchte ich freigegebene Sicherheitsinformationen drucken, damit sie bei Übungen und Unterweisungen verwendet werden können.","Epic 7: Informationen und Dokumente","Als Benutzer möchte ich freigegebene Sicherheitsinformationen drucken, damit sie bei Übungen und Unterweisungen verwendet werden können.","Could","3","Backlog","Sprint 5","Dokumentansicht hat Drucklayout und Versionskopf.","user-story;priority:could"
"US-025: Als Sicherheitsbeauftragter möchte ich nach einer Übung eine Umfrage erstellen, damit Probleme und Verbesserungsvorschläge erfasst werden.","Epic 8: Feedback und Umfragen","Als Sicherheitsbeauftragter möchte ich nach einer Übung eine Umfrage erstellen, damit Probleme und Verbesserungsvorschläge erfasst werden.","Should","8","Backlog","Sprint 5","Umfrage unterstützt Freitext, Auswahl, Bewertung und Zielgruppen.","user-story;priority:should"
"US-026: Als Lehrkraft möchte ich eine Umfrage über einen QR-Code öffnen, damit ich schnell Rückmeldung geben kann.","Epic 8: Feedback und Umfragen","Als Lehrkraft möchte ich eine Umfrage über einen QR-Code öffnen, damit ich schnell Rückmeldung geben kann.","Could","5","Backlog","Sprint 5","QR-Code-Link öffnet aktive Umfrage ohne sensible URL-Daten.","user-story;priority:could"
